Latitude,Region,Code,Institution,Longitude,Sat_2016
51.2631,11,B12,Barony College ,-1.1003,2.39
53.3799,1,S12,The School of Pharmacy (University of London),-1.4909,2.88
51.072,3,P37,Peninsula College of Medicine & Dentistry,-4.069,2.49
51.4997,3,B79,Bristol Filton College,-2.544,1.21
52.4136,5,C62,City College  Birmingham,-1.5043,2.06
51.5569,1,L67,London School of Accountancy and Management,-0.118,1.28
53.6173,1,H50,Holborn College,-2.1616,2.63
51.736,1,W83,Working Men\'s College,0.4289,2.49
53.5791,11,N61,North Glasgow College,-0.6647,2.63
56.4634,11,A20,The University of Aberdeen,-2.9726,2.16
52.41477607,11,A30,University of Abertay Dundee,-4.084035201,3.65
53.472912,4,A40,Aberystwyth University,-2.243752,1.31
53.7549,5,A43,Access to Music,-2.3714,3.17
54.6986,8,A44,Accrington & Rossendale College,-6.2152,2.9
51.236544,12,A45,The College of Agriculture  Food and Rural Enterprise,-0.578031,3.41
51.5188,2,A48,The Academy of Contemporary Music,-0.1516,2.89
51.66828,1,A50,American InterContinental University - London,-0.590353,2.97
51.7412477,2,A55,Amersham & Wycombe College,0.47433444,2.27
50.7262,7,A60,Anglia Ruskin University,-1.8243,3.89
50.741,3,A65,Anglo European College of Chiropractic,-1.897,2.88
53.911,3,A66,The Arts University College at Bournemouth (Formerly Arts Institute at Bournemouth),-1.1053,3.03
52.486,9,A70,Askham Bryan College,-1.8895,3.1
53.2296,5,A80,Aston University  Birmingham,-4.1302,2.85
51.652411,4,B06,Bangor University,-0.20083,3.12
51.905983,1,B08,Barnet and Southgate College,-0.422029,2.51
51.5615,7,B09,Barnfield College  Luton,0.1755,2.22
53.556218,1,B11,Barking and Dagenham College,-1.482146,2.41
51.2631,9,B13,Barnsley College,-1.1003,3.17
51.3773,2,B15,Basingstoke College of Technology,-2.3261,1.77
51.3757,3,B16,University of Bath,,2.93
51.3798,3,B20,Bath Spa University,-2.3631,1.51
51.8739,3,B21,City of Bath College,-0.4067,1.7
52.1316,7,B22,University of Bedfordshire,-0.4697,3.18
51.5213,7,B23,Bedford College,-0.1302,3.18
52.5192,1,B24,Birkbeck  University of London,-1.8972,1.2
52.485,5,B25,Birmingham City University,-1.8862,3.51
52.4504,5,B30,Birmingham Metropolitan College (Formerly Matthew Boulton College),-1.9304,2.83
52.4814,5,B32,The University of Birmingham,-1.9071,1.69
51.485958,5,B35,University College Birmingham,0.163951,2.15
53.8454,1,B36,Bexley College,-0.5002,2.53
53.2356,9,B37,Bishop Burton College,-0.5616,2.17
50.824594,6,B38,Bishop Grosseteste University,-0.160439,2.38
53.749884,2,B39,BIMM,-2.48694,2.41
53.8569,8,B40,Blackburn College,-3.0304,2.99
51.529453,8,B41,Blackpool and The Fylde College An Associate College of Lancaster University,-0.799673,2.88
53.5729,2,B42,Berkshire College of Agriculture,-2.4432,3.25
53.574807,8,B44,University of Bolton,-2.435768,3.27
52.428351,8,B46,Bolton College,-1.953409,2.92
50.724709,5,B48,Bournville College of Further Education,-1.961881,1.68
50.7432,3,B49,Bournemouth and Poole College,-1.8969,2.09
51.5185,3,B50,Bournemouth University,-0.1167,2.48
53.7914,1,B54,BPP University College Of Professional Studies Limited,-1.7641,1.37
53.7754,9,B56,The University of Bradford,-1.798,1.3
51.1319,9,B60,Bradford College,-2.9868,2.89
50.8421,3,B70,Bridgwater College,,3.03
51.545662,2,B72,University of Brighton,0.022296,1.96
50.8601,1,B73,British Institute of Technology & E-commerce,-0.0854,1.4
51.4525,2,B74,Brighton and Sussex Medical School,-2.5998,1.18
51.4591,3,B77,Bristol  City of Bristol College,-2.6022,2.2
51.4997,3,B78,University of Bristol,-2.544,2.79
51.5688,3,B80,University of the West of England  Bristol,-0.1949,2.86
51.3672,1,B81,British College of Osteopathic Medicine,-0.4607,1.35
51.5338,1,B83,Brooklands College,-0.468,2.92
51.5022,1,B84,Brunel University,-0.0924,1.28
51.9959,1,B87,British School of Osteopathy,-0.9918,2.64
52.766,2,B90,The University of Buckingham,-0.891,1.88
51.6273,6,B92,Brooksby Melton College,-0.7536,2.93
51.38666,2,B94,Buckinghamshire New University,0.034796,1.95
52.2008,1,B97,Bromley College of Further and Higher Education,0.1193,2.8
52.194334,7,C05,University of Cambridge,0.135041,2.52
51.2799,7,C06,Cambridge School of Visual & Performing Arts,1.0907,2.98
51.275461,2,C10,Canterbury Christ Church University,1.088634,1.45
51.4892,2,C12,Canterbury College,-3.1579,2.21
51.4911,4,C15,Cardiff University,-3.2197,2.44
51.6851,4,C20,Cardiff Metropolitan University (UWIC),-4.1826,3.03
51.37141,4,C22,Coleg Sir Gar / Carmarthenshire College,-0.165115,3.06
53.765,1,C24,Carshalton College,-2.6967,1.42
51.5447,8,C30,University of Central Lancashire (UCLan),-0.1695,1.93
53.1992,1,C35,The Royal Central School of Speech and Drama  University of London,-2.8966,3.07
53.2408,8,C55,University of Chester,-1.424,3.27
50.8342,6,C56,Chesterfield College,-0.7882,2.33
50.7881,2,C57,Chichester College,-0.6657,2.19
51.5272,2,C58,University of Chichester,-0.1019,3.07
52.4136,1,C60,City University,-1.5043,2.68
51.5565714,5,C64,City College Coventry,,2.06
54.8737,1,C65,City and Islington College,-1.4394,2.3
50.828269,10,C69,City of Sunderland College,-0.136978,2.41
54.5513,2,C70,City College Brighton and Hove,-1.2525,2.2
53.2699,10,C71,Cleveland College of Art and Design,-1.6429,2.84
51.8947,6,C72,Cliff College,0.8894,3.09
50.228,7,C75,Colchester Institute,-5.2661,2.54
51.5124,3,C78,Cornwall College,-0.1159,2.54
52.4058,1,C80,Courtauld Institute of Art (University of London),-1.4965,2.06
53.9834,5,C85,Coventry University,-2.1048,1.69
51.3738,9,C88,Craven College,-0.0955,2.59
51.2149,1,C92,University Centre  Croydon (Croydon College),-0.8056,1.33
54.8904,2,C93,University for the Creative Arts,-2.9219,2.32
53.4991,8,C99,University of Cumbria,-1.3154,3.75
52.6297,9,D22,Dearne Valley College,-1.139,1.84
52.915996,6,D26,De Montfort University,-1.458989,3.06
52.946,6,D38,Derby College,-1.5041,3.2
53.5289,6,D39,University of Derby,-1.1336,2.95
50.5462,9,D52,Doncaster College,-4.3162,2.98
52.5186,3,D55,Duchy College,-2.0965,2.28
56.4579,5,D58,Dudley College of Technology,-2.9824,1.77
54.7751,11,D65,University of Dundee,-1.5696,1.55
